match_id,player_id,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,position_name,duels_lost,index,period,minute,second,possession,duration,total_running_distance,passes_last_15_minute,should_be_subbed_x,should_be_subbed_y
15946,3501,0,0,58,2,0,43,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,52,0,0,5,0,4,0,46.023199999999996,Left Wing,0,471169,338,11164,5140,17629,156.4795851,288.54480703245906,16,0,0
15946,5203,0,0,76,2,2,66,0,1,0,1,3,0,1,4,0,0,1,0,0,0,0,83,0,0,10,0,0,1,44.8542,Center Defensive Midfield,0,448982,383,10421,6996,16848,225.812025133,281.693451429505,16,0,0
15946,5211,0,0,109,8,0,94,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,128,0,0,6,0,3,0,46.396499999999996,Left Back,0,661403,530,15540,10671,25078,317.489067009,348.82324702912024,41,0,0
15946,5213,0,0,62,6,1,56,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,0,0,4,0,1,0,44.418283333333335,Right Center Back,0,351871,302,8236,5790,13367,256.96459500000003,384.7169636936065,28,0,0
15946,5246,0,0,50,4,2,29,1,3,2,0,1,0,1,0,0,0,0,3,0,0,0,39,0,0,2,0,4,0,46.64535,Center Forward,0,263773,217,6148,4402,9956,95.718233003,164.77750430056062,10,0,0
15946,5470,0,0,130,5,1,112,1,0,0,0,5,0,2,2,0,0,2,1,0,0,0,138,0,0,7,0,2,0,46.46556666666667,Center Defensive Midfield,0,729426,597,17032,12280,27538,384.507211006,434.6405780191987,37,0,0
15946,5477,0,0,75,4,1,59,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,67,0,0,9,0,3,1,44.66801666666667,Left Wing,0,362410,317,8313,6884,13523,227.047635005,430.0019571310062,14,0,0
15946,5492,0,0,52,7,1,49,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,65,0,0,4,0,0,0,44.7785,Left Center Back,0,326020,269,7676,4911,12329,177.456294,284.5091899395548,21,0,0
15946,5503,0,0,103,6,1,81,0,1,5,0,1,0,0,4,0,0,0,0,0,0,0,91,0,0,3,0,8,0,46.232283333333335,Right Wing,0,582932,476,13636,9036,21910,292.749872009,519.9607538499362,21,0,0
15946,6374,0,0,28,1,1,30,0,1,4,0,2,0,0,1,0,0,1,1,0,0,0,32,0,0,2,0,0,1,44.36251666666667,Right Back,0,93743,106,2093,3275,3630,94.89368999999999,122.00313669371722,7,0,0
