minute,passes_before_sub,shots_before_sub,team,player_out,player_in,label
61,45,1,Team A,Player_0,Player_250,1
24,17,2,Team A,Player_1,Player_251,1
81,1,8,Team A,Player_2,Player_252,0
70,34,6,Team B,Player_3,Player_253,0
30,15,3,Team A,Player_4,Player_254,1
84,40,9,Team B,Player_5,Player_255,0
84,35,4,Team A,Player_6,Player_256,0
33,32,1,Team A,Player_7,Player_257,1
12,3,7,Team B,Player_8,Player_258,1
31,32,3,Team B,Player_9,Player_259,1
62,13,8,Team A,Player_10,Player_260,1
11,20,4,Team B,Player_11,Player_261,1
39,47,8,Team A,Player_12,Player_262,1
47,19,3,Team B,Player_13,Player_263,1
11,7,9,Team C,Player_14,Player_264,1
73,6,4,Team C,Player_15,Player_265,0
69,2,8,Team C,Player_16,Player_266,0
30,16,7,Team C,Player_17,Player_267,1
42,32,2,Team C,Player_18,Player_268,1
85,47,0,Team A,Player_19,Player_269,0
67,11,2,Team C,Player_20,Player_270,0
31,21,3,Team C,Player_21,Player_271,1
58,21,1,Team C,Player_22,Player_272,1
68,45,0,Team C,Player_23,Player_273,0
51,29,6,Team B,Player_24,Player_274,1
69,37,7,Team A,Player_25,Player_275,0
89,37,6,Team C,Player_26,Player_276,0
24,44,4,Team C,Player_27,Player_277,1
71,7,0,Team C,Player_28,Player_278,0
71,26,6,Team A,Player_29,Player_279,0
56,26,6,Team B,Player_30,Player_280,1
71,33,8,Team A,Player_31,Player_281,0
60,20,2,Team B,Player_32,Player_282,1
64,29,8,Team C,Player_33,Player_283,1
73,32,0,Team C,Player_34,Player_284,0
12,27,0,Team A,Player_35,Player_285,1
60,46,3,Team A,Player_36,Player_286,1
16,32,8,Team B,Player_37,Player_287,1
30,4,5,Team B,Player_38,Player_288,1
82,47,2,Team A,Player_39,Player_289,0
48,18,0,Team B,Player_40,Player_290,1
27,3,3,Team A,Player_41,Player_291,1
13,34,8,Team B,Player_42,Player_292,1
69,48,2,Team A,Player_43,Player_293,0
23,16,8,Team A,Player_44,Player_294,1
18,43,6,Team A,Player_45,Player_295,1
62,27,3,Team B,Player_46,Player_296,1
11,29,2,Team B,Player_47,Player_297,1
69,28,9,Team B,Player_48,Player_298,0
80,45,4,Team A,Player_49,Player_299,0
53,5,4,Team B,Player_50,Player_300,1
17,34,2,Team B,Player_51,Player_301,1
56,40,8,Team A,Player_52,Player_302,1
44,36,3,Team C,Player_53,Player_303,1
87,23,4,Team A,Player_54,Player_304,0
45,28,3,Team B,Player_55,Player_305,1
59,48,4,Team A,Player_56,Player_306,1
13,45,6,Team C,Player_57,Player_307,1
11,30,8,Team A,Player_58,Player_308,1
15,34,6,Team B,Player_59,Player_309,1
63,32,4,Team C,Player_60,Player_310,1
13,20,9,Team B,Player_61,Player_311,1
63,31,9,Team C,Player_62,Player_312,1
72,22,6,Team C,Player_63,Player_313,0
27,32,9,Team A,Player_64,Player_314,1
53,2,4,Team A,Player_65,Player_315,1
43,17,2,Team B,Player_66,Player_316,1
83,24,6,Team A,Player_67,Player_317,0
71,41,1,Team A,Player_68,Player_318,0
23,30,8,Team C,Player_69,Player_319,1
57,2,9,Team A,Player_70,Player_320,1
24,39,9,Team C,Player_71,Player_321,1
81,45,0,Team C,Player_72,Player_322,0
87,23,5,Team C,Player_73,Player_323,0
71,49,6,Team B,Player_74,Player_324,0
49,31,7,Team B,Player_75,Player_325,1
89,46,9,Team B,Player_76,Player_326,0
62,21,8,Team C,Player_77,Player_327,1
33,22,1,Team B,Player_78,Player_328,1
