,match_id,player_id,Ball Receipt*,Ball Recovery,Carry,Dispossessed,Dribble,Duel,Foul Won,Pass,Pressure,Shot,Block,Dribbled Past,Foul Committed,Interception,Miscontrol,Clearance,Error,Goal Keeper,Shield,Injury Stoppage,Offside,minutes_played,duels_lost,passes_last_15_minute,total_running_distance,stamina_start,stamina_end
match_id,1.0,0.6025909461497001,-0.16007136976628142,0.2520855450185718,-0.11065117202497059,0.12144139758716344,0.0267674525440759,0.05854880714460094,-0.1196169132882715,-0.09896030818094718,-0.06838519421838002,0.02840738513090603,0.02773943803377088,0.0700957738673553,-0.12676672360832905,-0.0533866756398746,0.134731918835751,0.07468374394126931,0.02474157223397818,0.01322512337229473,0.03230506109599554,0.1041600290352456,0.004341841418154381,0.07376321851722327,,-0.08792950547306602,-0.06790296434767006,-0.059017983392700146,-0.0611097641798542
player_id,0.6025909461497001,1.0,-0.28966613996655655,0.10325031328976848,-0.23577972015451418,0.010038509663062335,-0.0909703261098212,0.005961130326356423,-0.1755421698383668,-0.19612490767820417,-0.08776152995905426,-0.16013688768087264,-0.03509656400226751,0.02557156304528084,-0.12143605569681774,-0.04307842990644358,0.008009055343385842,0.0633846298307853,0.01456413824047183,0.09570209397517451,0.029618770451955354,0.046525701966764296,-0.019661174002553516,-0.01987800421118488,,-0.15422994017499195,-0.18835297329302472,-0.17209072375235188,-0.17573739767114416
Ball Receipt*,-0.16007136976628142,-0.28966613996655655,1.0,0.263992701937107,0.9379967836298732,0.28098583094943297,0.3604108595120769,0.2130442786083223,0.37059661694431617,0.8368203139192741,0.25414357030383955,0.39541720087497384,0.16269010458881678,0.12523860905195214,0.15885950624841688,0.09314031929330369,0.25795595555503054,-0.022295821516691603,-0.038387299063931485,-0.21010050069448707,0.03775670325518902,-0.03384495881945571,0.022860541984792766,0.48268421877041834,,0.6983708526433196,0.7501872242726766,0.26353926978662034,0.26148387494753234
Ball Recovery,0.2520855450185718,0.10325031328976848,0.263992701937107,1.0,0.4008303487637521,0.2132066923827538,0.20361646153651755,0.1966972374538717,0.16360353437756836,0.4167965696495809,0.13458841411784278,0.14915186845909498,0.17752831187860707,0.18629816608147431,0.13163427471068154,0.11111712910421244,0.11925791607961052,0.08194653685117358,0.03170009006951424,0.14772233171010446,0.052671113011603175,0.09430095966912874,-0.013894830111881015,0.4745406495174941,,0.3442757713529121,0.3658348488397761,-0.16001717580132055,-0.15500729594086682
Carry,-0.11065117202497059,-0.23577972015451418,0.9379967836298732,0.4008303487637521,1.0,0.20932767249019418,0.3278593264237036,0.16803030532139496,0.3287228252902383,0.9246680297559803,0.15243886205282822,0.2793032196569172,0.1688834227030587,0.14485808927499078,0.13333783669675248,0.14130227305331294,0.13549370790185114,0.043928574416188505,-0.015105829511450822,-0.1304642757646229,0.0645255764354451,-0.027093732474065352,-0.0026751411725420503,0.48960800619887407,,0.7891373262775817,0.8104265390551812,0.09949127943866722,0.10079971765256514
Dispossessed,0.12144139758716344,0.010038509663062335,0.28098583094943297,0.2132066923827538,0.20932767249019418,1.0,0.4110981539651094,0.1725284928086921,0.25339319262390014,0.040483374857879166,0.26374717639316514,0.33200175129786685,0.0851829024955793,0.11384343651292533,0.1460350344006987,-0.015256503838719432,0.38418480045536607,-0.1316405815842176,-0.055915536349284936,-0.18430459049115774,0.015722463016353275,-0.007932190758520313,0.03654687638682483,0.20971666913874334,,-0.009094562259390263,0.24917139072552513,0.3709361017819406,0.3742423261444735
Dribble,0.0267674525440759,-0.0909703261098212,0.3604108595120769,0.20361646153651755,0.3278593264237036,0.4110981539651094,1.0,0.10787560772592325,0.3572812787121853,0.12032734870195545,0.23825425365451275,0.44141911321284666,0.07153463959618452,0.12124312479097088,0.11827878062595333,-0.0034067478301994464,0.3703535860252693,-0.13831122098132315,-0.05959357923590817,-0.16746901519022983,0.003963707746737272,-0.014938977743708967,0.03327692356042896,0.2100178767188195,,0.06864595000504069,0.41258280877676573,0.3722744462175971,0.3844207175010873
Duel,0.05854880714460094,0.005961130326356423,0.2130442786083223,0.1966972374538717,0.16803030532139496,0.1725284928086921,0.10787560772592325,1.0,0.1822738260680009,0.17835447379635336,0.43134132629012434,0.044368919885209836,0.32382613928149523,0.3164586512622587,0.2804917674763882,0.22194475892688112,0.16139103568315852,0.1891869121018066,-0.01282810464719636,-0.25445458634859247,0.05343237299396692,0.022541473841185437,0.02252676481605431,0.33002518820530596,,0.09614646665055802,0.11096059965247343,0.0995778806438527,0.09020940468900857
Foul Won,-0.1196169132882715,-0.1755421698383668,0.37059661694431617,0.16360353437756836,0.3287228252902383,0.25339319262390014,0.3572812787121853,0.1822738260680009,1.0,0.20453307407837912,0.24069426761858728,0.2750696907585048,0.09607976354744803,0.14690493807852048,0.16613932703690565,0.05778861870148605,0.26648595071816433,-0.07080916174996822,-0.04454645524759489,-0.15510801051615472,-0.01363582610062458,0.029140585229397033,0.017182966631359105,0.2284083347474684,,0.14545737200685036,0.2967865928668539,0.2471616318794658,0.24816294363082925
Pass,-0.09896030818094718,-0.19612490767820417,0.8368203139192741,0.4167965696495809,0.9246680297559803,0.040483374857879166,0.12032734870195545,0.17835447379635336,0.20453307407837912,1.0,0.08504349225086533,0.10687400119406491,0.19952275002629544,0.13811826971292204,0.11362973453840662,0.19185806143769044,-0.03804080955507699,0.14247409189216817,0.012231819708665227,0.005276241753154878,0.09171027227037361,-0.011155493362774582,-0.022433145947242016,0.530153447973439,,0.8626283117340774,0.7155299106598206,-0.10384944321242601,-0.1036708693993692
