50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,period,minute,second,possession,duration,total_running_distance,true,pred,proba
0,0,16,2,0,15,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,40,0,0,1,0,0,0,48.25503333333334,142,3610,3128,8110,135.192041,78.48822665977953,0,1,0.5222222222222221
0,1,11,0,3,11,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,46.643233333333335,93,2676,1989,4285,57.143842001,43.28793317326296,0,1,0.611111111111111
0,0,35,3,2,33,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,39,0,0,5,0,0,1,45.09555,170,4303,3422,7874,133.367935,191.67536477631643,0,1,0.43355608342430063
0,0,29,4,1,28,0,2,6,2,3,0,1,0,0,0,1,1,0,0,0,26,0,0,42,0,2,1,43.96973333333334,201,5002,4000,9623,116.213083,217.0338155952008,1,0,0.15
0,0,10,4,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,24,0,0,0,0,0,0,41.92478333333334,92,2849,1951,7115,71.78358900399999,55.885879428934,0,1,0.5222222222222221
0,0,7,1,1,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,14.388783333333333,66,2784,923,5177,24.298825,7.94439543774554,0,1,0.6060406579799543
0,0,13,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7.270733333333334,74,3234,960,6939,40.060041,122.62150470504824,0,1,0.5222222222222221
0,0,33,1,3,31,1,0,0,2,1,0,3,0,0,0,0,1,0,0,0,41,0,0,8,0,0,1,42.94435,165,3866,3910,7532,99.870568004,91.66123849746847,0,1,0.4388888888888889
0,0,19,2,0,18,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,31,0,0,0,0,0,0,41.95365,117,3223,2927,7056,127.727769,75.35852665239796,0,1,0.5222222222222221
0,0,42,5,0,25,0,1,2,0,7,0,2,2,0,0,2,2,0,0,0,24,0,0,31,0,2,0,48.05043333333333,212,6216,3994,13418,100.82283,111.80571243180088,1,0,0.0
0,0,30,3,1,26,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,34,0,0,6,0,0,1,44.82128333333333,105,2346,3450,4905,96.86325,165.72290397048275,0,1,0.611111111111111
0,0,7,1,0,7,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,12,0,0,4,0,0,1,22.726366666666667,36,316,1344,697,32.262989,38.52668663095989,0,1,1.0
0,0,35,0,0,20,0,2,1,0,3,0,0,1,0,0,3,0,0,0,0,19,0,0,11,0,3,0,42.0664,142,4075,2654,7650,73.684184,84.66021164718566,0,1,0.4388888888888889
0,0,11,1,2,9,0,0,0,2,3,0,1,0,0,0,2,0,0,0,0,16,0,0,8,0,0,1,36.77263333333334,75,1699,1403,2789,36.219633,43.02429876605845,0,1,0.8581535077857314
0,0,20,4,1,24,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,39,0,0,1,0,0,0,45.706,155,4456,2497,8297,196.729763,90.85378045219588,0,1,0.35163802457220394
