,MeanImportance
duration,0.1951483576907869
Pass,0.11212572934967148
minute,0.09021020227036933
possession,0.07607337339934414
Carry,0.060132253867169666
total_running_distance,0.0595427473566639
second,0.043750049242569866
minutes_played,0.042495367464132086
Ball Receipt*,0.03722332383301723
Duel,0.03372951265882204
period,0.029860638452512522
Pressure,0.024974427684285885
Goal Keeper,0.02457374944973218
Dribbled Past,0.0210723720591738
Foul Won,0.019184393116007125
Ball Recovery,0.01864029798998768
Clearance,0.01773193338612608
Interception,0.01703550027981128
Substitution,0.016796505741414624
Block,0.01486078657596017
Miscontrol,0.012151323827354055
Foul Committed,0.011412927288859648
Dribble,0.008104305058843684
Dispossessed,0.00554207806169949
Shot,0.004935372551405854
Error,0.0012983528941273084
Injury Stoppage,0.000510719829866671
Bad Behaviour,0.0004425211465309044
Shield,0.00024011047961366517
Own Goal Against,0.00011602203120006144
50/50,6.154090436122683e-05
Player Off,1.850468080306787e-05
Player On,4.727666699497691e-06
Offside,0.0
Own Goal For,0.0
